IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,sample
4.8872986,3.4710319,0,0,0,0,18.6193007,3.2310593,1.4148383,0,0,0,61.6208148,4.6794652,2.0761913,371.78
4.2363073,3.7715238,0,0,0,0,18.2143057,2.5699255,0,0,0,0,71.2079376,0,0,371.9
3.6879988,3.4734036,0,0,0,0,15.8913442,6.4046717,1.2729306,0.3828971,0.37969,0,61.8614431,4.4726171,2.1730037,371.93
4.099731,3.4264556,0,0,0,0,16.7411122,2.3927069,1.4654024,0,0,0,63.5915419,5.5226863,2.7603636,372.03
4.2578361,3.8043578,0,0,0,0,16.6915797,2.8249546,1.2710232,0.5029987,0,0,63.7744622,4.6824276,2.19036,372.09
3.1950101,4.274898,0,0,0,0,13.152815,2.5444207,1.222328,0.4383424,0.3377299,0,69.1263958,3.96543,1.74263,372.15
4.1030838,3.6748549,0.1399566,0.2033271,0,0,16.6668524,2.4903193,1.443511,0.4633374,0.4529084,0.0850248,62.7291212,5.0863623,2.4613408,372.16
4.5190757,3.3588297,0,0,0,0,16.204078,2.4191193,1.3888242,0.6772687,0,0,64.0349132,4.9487181,2.4491731,372.67
3.5993771,3.6035166,0,0,0,0,15.9667659,2.479549,1.2136563,0.3863515,0.3567838,0,65.6338334,4.5666358,2.1935306,372.97
4.6276664,4.1793332,0,0,0,0,17.1056329,3.2481798,1.6285605,0,0,0,62.268489,4.8103206,2.1318176,373.25
4.2508227,3.6220837,0,0,0,0,17.4732681,2.2910073,1.5245345,0,0,0,62.539559,5.5976701,2.7010546,373.87
4.0393975,3.5318656,0,0,0,0,16.6512167,2.3221321,1.3820008,0,0,0,66.6187717,5.4546157,0,374.17
4.9253044,3.5552891,0,0,0,0,19.8012882,3.4020062,1.4307725,0.5472119,0.4411846,0,59.4066444,4.5321695,1.9581292,374.77
4.2546236,2.6968083,0,0,0,0,17.8014884,2.4485793,1.4321686,0,0,0,63.7810478,5.087161,2.498123,375.07
4.8769204,3.2050179,0,0,0,0,18.3027069,2.5605715,1.6503852,0.5438525,0,0,60.9625812,5.394952,2.5030124,375.7
5.00348,2.7095381,0,0,0,0,19.0441002,3.0810255,1.3378702,0.405285,0.4479617,0,60.4908675,5.0441517,2.4357201,376
4.7298551,3.5444493,0,0,0,0,17.9069146,2.5215333,1.3211911,0,0,0,63.2406523,4.6239426,2.1114616,376.3
4.4055969,4.3562542,0,0,0,0,18.0770451,0,0,0,0,0,67.4056321,5.7554718,0,377.55
6.5168831,3.6190306,0.2944684,0.2358443,0,0,15.2026913,2.7794249,1.9153925,0.8380895,0.5235743,0.2056899,59.4327608,5.6742451,2.7619051,378.21
4.896604,2.9064857,0.1773493,0.1508219,0,0,17.2741256,2.4404282,1.6372006,0.6098493,0.4878982,0.0938302,60.253782,5.9638871,3.1077378,378.41
4.7930728,3.3011793,0.1997598,0.2007552,0,0,15.6018343,2.6990795,1.6221355,0.5451915,0.5146634,0,62.1777132,5.6206489,2.7239665,378.61
7.6538753,3.8066662,0.2745385,0.2794316,0,0,18.8877608,3.173882,1.8871683,0.832528,0.5162233,0.240112,54.472042,5.4168494,2.5589227,378.81
7.8782007,3.9181507,0,0,0,0,18.6561038,3.2769097,2.3482945,1.1346959,0.6969169,0.2174663,52.2816314,6.3297495,3.2618807,379.01
0,0,0,0,0,0,17.3883056,0,0,0,0,0,82.6116944,0,0,380.31
4.3142337,3.2913399,0,0,0,0,16.3023971,2.8075027,1.4363708,0.5936079,0.3745118,0,63.840906,4.9051697,2.1339603,380.51
0,0,0,0,0,0,15.0915964,0,0,0,0,0,84.9084036,0,0,380.71
3.6880113,2.9149677,0.2032178,0.2027752,0.073361,0.068739,13.624735,2.3844774,1.4262612,0.5917064,0.4278734,0.119777,66.7535165,5.0074762,2.5131049,380.91
6.4014676,3.6601231,0,0,0,0,17.2118526,2.8236687,1.8474665,0.9040415,0.5653436,0,57.7486368,5.9735851,2.8638145,381.11
4.3418747,2.290424,0.1485202,0.137261,0,0,16.2327238,2.5315479,1.5404857,0.5753575,0.4918624,0,63.2151961,5.7199243,2.7748224,381.31
3.9605788,3.3407697,0.1953992,0.2382408,0,0,13.312226,2.3935536,1.4475566,0.6786727,0.4635943,0,66.1351529,5.3006832,2.5335723,381.51
8.3167388,3.7890614,0.419781,0.3177317,0,0,14.4758254,2.4883471,1.9185261,1.1542599,0.5540999,0.3279367,58.1308437,5.5889897,2.5178586,381.71
5.3088417,3.1029594,0,0,0,0,13.8769723,2.7921181,1.6405512,0,0,0,65.3457427,5.4969825,2.4358322,381.82
6.5663549,3.2683947,0.3299175,0.2562065,0.1338138,0.0823781,16.3183214,3.3835783,1.974888,1.1291555,0.5394674,0.3058602,57.4384533,5.6582515,2.6149588,382.02
5.063901,2.6320364,0,0,0,0,12.705201,3.2976203,1.8849931,1.1160947,0.5026648,0,63.5935568,6.3111257,2.8928062,382.22
4.1650979,2.7802248,0.2747571,0.2774376,0,0,10.5529867,2.9930854,1.444942,0.9250358,0.3834415,0.164245,68.1794755,5.6252703,2.2340004,382.42
5.0308367,2.4127843,0,0,0,0,11.6857667,3.3849698,1.2652928,0.7319306,0.3143226,0,67.1312339,5.6246813,2.4181812,382.62
4.0938059,1.9641007,0,0,0,0,9.4478934,2.7938891,1.4627743,0.7995715,0.3319938,0,70.4645167,6.3663548,2.2750997,382.82
4.4496589,1.9115517,0,0,0,0,10.3359997,3.3516388,1.3626964,0.7890761,0.3123491,0,69.4325091,6.0144999,2.0400203,383.02
4.5548323,2.3346335,0,0,0,0,8.7134496,3.5085129,1.8883789,1.2534505,0,0,68.9422371,6.6413187,2.1631865,383.22
4.0971352,2.405474,0,0,0,0,9.9721388,3.8201892,1.6583444,1.1023701,0,0,67.4832062,7.4388116,2.0223306,383.34
3.0446468,1.6569767,0,0,0,0,8.7659061,3.1521501,1.8056165,1.1649846,0,0,68.7357394,9.0209522,2.6530276,383.54
3.9585089,2.8222475,0,0,0,0,8.8724917,3.1862765,1.8217812,1.0241895,0,0,68.0325254,8.0593572,2.2226222,383.74
2.8233947,1.6125726,0,0,0,0,9.2997553,3.3998387,1.5107423,1.1546706,0.2894475,0,70.4685529,7.2916713,2.149354,383.94
3.0992754,1.5940268,0,0,0,0,9.7640644,3.1314192,1.4078988,0.9211497,0.3731743,0,69.1474544,7.9609499,2.6005872,384.14
3.7773966,2.0605028,0,0,0,0,9.0322544,2.9670089,1.7105627,1.15227,0,0,69.6271526,7.5075974,2.1652546,384.34
3.7429168,0,0,0,0,0,10.435928,3.8125062,0,0,0,0,74.5700368,7.4386122,0,385.8
4.1234614,2.075718,0,0,0,0,10.7534502,3.8530399,1.8985453,0,0,0,67.6482656,7.1969414,2.4505781,385.93
0,0,0,0,0,0,8.9458406,2.885755,0,0,0,0,77.6405517,8.0371713,2.4906814,386.1
4.9881687,2.5585228,0,0,0,0,14.0581425,2.9219133,0,0,0,0,66.8955464,6.0762275,2.5014789,388.01
5.0048831,2.9814715,0,0,0,0,16.961375,2.6338051,1.5945886,0.3490419,0.4910659,0,62.5631027,4.9677437,2.4529223,388.21
6.1922461,3.5428104,0,0,0,0,17.8640843,0,0,0,0,0,67.25884,5.1420193,0,388.41
5.1104308,2.5003133,0,0,0,0,18.4570123,2.0947539,1.6501662,0.2585173,0.486361,0,61.5519392,5.2417184,2.6487877,388.61
5.5956398,3.0936684,0,0,0,0,17.2927854,2.2493066,1.6908692,0.6045716,0.5573646,0,61.2591397,5.0447125,2.6119423,388.81
6.6858053,3.9046165,0,0,0,0,19.1621586,3.1238591,0,0,0,0,67.1235605,0,0,389.01
5.6916737,2.9829129,0,0,0,0,18.9509802,2.8380778,0,0,0,0,62.8618722,4.5450627,2.1294205,389.21
0,0,0,0,0,0,19.0588005,0,0,0,0,0,80.9411995,0,0,389.41
5.3871878,3.8242294,0,0,0,0,18.0126312,2.2920324,1.5417109,0.4625291,0.4852037,0,61.0643085,4.7358098,2.1943574,389.51
5.9369744,4.0247562,0,0,0,0,18.5132941,2.8261768,1.7991211,0,0,0,59.4498721,4.985456,2.4643494,389.71
6.0721411,4.0210042,0,0,0,0,18.189683,2.7167601,1.8028717,0.5235328,0.5573513,0,58.762292,4.9472142,2.4071496,389.91
5.9543422,3.112151,0,0,0,0,18.6424487,2.1056858,1.7291266,0,0,0,59.8936774,5.8297454,2.7328229,390.11
5.8831991,4.0100371,0,0,0,0,17.1413502,2.9264161,1.6542002,0,0,0,60.7483058,5.1288198,2.5076717,390.31
5.9021034,3.808552,0,0,0,0,19.8031535,2.0487837,0,0,0,0,68.4374074,0,0,390.51
5.6258296,3.5137034,0,0,0,0,16.1396112,0,0,0,0,0,69.6376981,5.0831576,0,390.71
