IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',IIa,IIa',IIb,IIb',IIc,IIc',Ia,Ib,Ic,class
4.214729594,6.649042132,0.424030616,1.031376753,0.177270806,0.896073126,8.791731407,9.577328184,3.431402286,5.277381801,0.590357534,1.825575901,46.9680244,7.570583752,2.575091712,1
3.9603919,4.847748789,0.438348032,0.620836269,0.15405937,0.299339238,13.65296298,7.481599625,4.717728534,3.021612209,0.672677142,0.397795091,45.88377193,10.39702166,3.45410724,1
6.0149898,3.870411534,0.383982011,0.431855608,0.129318308,0.562961727,12.81423256,7.170908744,4.990176973,2.607025301,0.780081405,0.27711066,47.91769714,9.014141583,3.035106643,1
9.120113965,1.592022444,0.097975085,1.032081753,0.027328362,0.170656898,4.69582661,2.858139636,0.901545215,2.282499673,0.215719623,0.052330906,72.84985391,3.07792944,1.02597648,1
3.661831499,1.21353329,0.09130988,1.133324915,0.024007005,0.443643903,5.272521138,2.097213106,0.781962274,1.329821557,0.123087939,0.040936801,80.97673818,2.14592096,0.66414755,1
12.54981697,15.41625249,0.541729072,1.271367203,0.168892005,0.770550497,4.952349429,6.314690109,3.765171241,7.842016589,0.709181948,3.871975132,27.36276625,8.909849909,5.553391152,0
14.35296222,16.70434691,0.749554028,1.505528219,0.278589215,1.036168447,4.789900166,5.858857303,2.718709731,8.074501406,0.535395734,3.481791959,27.70048105,7.381353095,4.831860517,0
17.39791203,19.0833476,0.452164984,1.528666781,0.126476125,0.889953791,3.834502824,5.728906384,2.103884991,7.192709225,0.416053397,3.580523704,27.48057505,6.424268355,3.760054766,0
4.382493872,12.48813125,0.615850023,1.661845563,0.192328924,1.063439839,4.613023605,7.027182194,4.121491819,8.661205202,0.441848654,4.112217634,35.1935434,9.378408815,6.046989202,0
6.018432557,13.02896545,0.69185389,1.39742248,0.206353493,1.149080904,4.48534004,6.281332816,2.33698496,11.60390257,0.387598535,5.414141755,32.30866938,8.910968384,5.778952788,0
8.699778159,14.87246707,0.499298088,1.639723866,0.151960288,0.947735998,4.973339756,5.90122788,3.175453141,9.379774603,0.584478549,4.323115124,30.55683625,8.707014363,5.587796865,0
8.760797742,16.20363997,0.607426782,1.641314199,0.114430258,0.834853334,4.869882186,6.623475697,4.104719459,7.709846164,0.37455117,3.620900299,31.10179991,8.521899485,4.910463342,0
9.052976782,15.29296841,0.600938476,1.042964048,0.176356691,0.573202854,6.415650566,6.612939801,2.846826103,7.647530832,0.627453033,2.64360598,32.0039423,9.973136567,4.489507562,0
8.76609176,15.42193665,0.512907226,1.529027167,0.062676136,0.823131552,4.631946793,6.884004058,3.573892459,8.234697328,0.701611994,3.571863375,31.77386991,8.156690339,5.355653252,0
4.972583639,15.06973137,0.705440216,1.601354993,0.28171986,0.951517381,3.843423067,7.558247292,3.977154458,8.486383065,0.498997727,3.752177769,34.59679558,8.592455725,5.112017861,0
13.87052942,16.076315,0.778959962,2.268512584,0.201769004,1.488356194,3.893176089,5.808058796,4.103405546,10.55710806,0.624962612,5.565098492,24.04888262,6.603683288,4.111182327,0
16.14693364,16.18020894,0.735055136,2.126233314,0.142870962,1.213097311,3.605726446,5.710872509,1.551944283,12.0729348,0.489166183,5.357129038,23.96546721,6.583865351,4.118494873,0
17.82573496,15.78229241,0.826351303,1.875522463,0.165650899,1.195350941,3.375823314,5.25288297,2.054422506,11.04795605,0.624173758,5.299145174,24.73058854,5.878154724,4.065949993,0
18.85450677,16.1735944,0.673604125,2.113052425,0.165025,1.096123057,3.693950724,5.3139881,1.181038834,11.03241334,0.481570873,4.985311402,24.43445749,6.151129483,3.650233976,0
13.37987808,14.43104257,0.583918244,1.795855632,0.091923395,0.989386011,3.906092995,5.842345796,2.357351266,10.55174506,0.670352286,4.44563122,29.4922442,7.156161845,4.30607141,0
5.255551433,17.34273382,0.980411304,2.579926957,0.548795969,1.261644825,2.575044431,7.21442103,3.988047575,10.11854774,1.654199949,3.599398473,31.45128215,7.271058336,4.158936,0
4.94521848,17.98046846,1.142241016,2.311437573,0.371761825,1.629687035,2.687691988,7.789027972,2.96623257,13.23348552,1.327560355,4.094995816,28.25502187,6.912411342,4.352758169,0
8.472314877,17.48034043,1.267511674,3.628681747,0.297167809,1.645541472,2.915074696,6.636747731,3.388117331,12.83077607,1.489882144,4.320051752,25.02072088,6.254674834,4.352396547,0
9.99899795,15.09833751,0.693236165,1.522568891,0.245593259,0.833887497,5.921749032,7.294010476,3.514461398,7.295468003,0.695422455,2.782782965,29.69601458,9.661216124,4.746253701,0
5.68058035,11.51623347,0.638067718,1.163045781,0.237147871,0.601757996,6.677206572,7.711277194,2.343868196,6.867454386,0.663030651,2.278435051,38.19707102,10.80025114,4.624572604,0
12.04545973,16.10157062,0.796229724,1.86395325,0.260738346,1.128671114,4.955332262,6.112358672,3.160800597,8.267035177,0.585031663,3.717476965,28.77410607,7.624315154,4.606920648,0
9.066552168,14.74246458,0.708973809,1.170287677,0.316702447,0.861829111,5.458823529,6.907342207,3.44697295,7.108286818,0.575697724,3.153628167,31.73756977,10.13722628,4.607642765,0
9.958428558,16.45562749,0.706957835,1.54306603,0.319319583,0.484407434,5.49263375,6.859194289,2.689883783,8.294822194,0.471305223,2.811172816,29.79873133,9.503407511,4.611042169,0
10.86239356,16.62881651,0.882134026,1.52612613,0.268218999,0.458389886,5.521237653,7.606835492,3.235950864,7.291216542,0.645514994,2.518288957,28.706857,9.350544528,4.497474858,0
